id	ALPHA_J2000	DELTA_J2000	FLUX_RADIUS	CLASS_STAR	fitclass	Z_B	Z_B_MIN	Z_B_MAX	T_B	star_flag	MAG_u	MAG_g	MAG_r	MAG_i	MAG_y	MAG_z
W1m4p1_127557	31.11011282	-5.903322702	2.93693	0.154044	0	0.68	0.459	0.901	1.273	0	25.1878	23.9592	22.6975	21.5983	-99.0	21.1692
W1m4p1_127609	30.38523167	-5.903163116	3.51461	0.0285867	0	0.73	0.503	1.04	4.182	0	22.2225	21.9246	21.6695	21.0339	-99.0	20.8519
W1m4p1_127616	30.68906224	-5.90332274	4.01484	0.0277063	0	0.75	0.52	1.03	3.727	0	22.7572	22.4533	22.1152	21.4304	-99.0	21.2772
W1m4p1_127626	31.08299311	-5.902982979	4.83889	0.0130894	0	0.72	0.494	1.05	3.818	0	23.0587	22.8876	22.4333	21.8635	-99.0	21.6659
W1m4p1_127639	30.43171472	-5.902947836	4.12035	0.0273155	0	0.58	0.29	0.787	3.545	0	23.0252	22.6346	21.9761	21.5331	-99.0	21.4655
W1m4p1_127642	30.20048793	-5.902095317	2.39065	0.700782	0	0.27	0.01	0.49	3.727	0	23.457	22.8843	22.4327	22.2564	-99.0	21.9886
W1m4p1_127647	30.83812554	-5.902218224	2.59699	0.583617	0	0.74	0.512	0.968	1.0	0	99.0	25.4734	23.6684	22.4191	-99.0	21.8108
W1m4p1_127665	30.66193127	-5.902527905	3.33485	0.0282374	0	0.24	0.07	0.403	1.727	0	24.1348	22.8942	22.0672	21.6032	-99.0	21.4787
W1m4p1_127669	30.19826524	-5.902393473	2.59467	0.407188	0	0.53	0.3	0.731	2.182	0	24.167	23.3028	22.3588	21.8502	-99.0	21.4229
W1m4p1_127700	30.31831338	-5.903150116	5.24259	0.0258097	0	0.75	0.52	0.99	4.273	0	22.1981	21.9504	21.7095	21.0574	-99.0	20.9532
W1m4p1_127705	30.20981736	-5.901839714	3.09857	0.0203638	0	0.93	0.677	1.58	4.091	0	23.3446	23.1302	23.0125	22.4413	-99.0	22.173
W1m4p1_127706	30.85002001	-5.902444277	3.06613	0.0292232	0	0.71	0.485	0.935	2.909	0	24.1326	23.562	22.897	22.096	-99.0	21.8698
W1m4p1_127723	30.66053804	-5.902221646	3.52409	0.0239684	0	1.51	0.05	2.1	4.182	0	22.5297	22.3369	22.2829	22.1638	-99.0	21.956
W1m4p1_127798	30.51113873	-5.901755544	2.61571	0.0662047	0	0.46	0.268	0.71	3.545	0	23.8793	23.4482	22.8098	22.4154	-99.0	22.2532
W1m4p1_127823	30.88995689	-5.902397834	4.06745	0.0255727	0	0.79	0.555	1.025	3.091	0	23.5634	23.0829	22.5935	21.6785	-99.0	21.4476
W1m4p1_127840	31.04939351	-5.901513002	2.90194	0.0418554	0	0.46	0.268	0.652	1.0	0	27.4601	24.275	22.8453	22.1446	-99.0	21.8869
W1m4p1_127843	30.6223442	-5.90367816	5.28679	0.0286361	0	0.32	0.147	0.56	2.727	0	21.5135	20.7974	20.057	19.685	-99.0	19.4341
W1m4p1_127853	30.4859331	-5.901221506	3.85749	0.0188462	0	0.34	0.164	0.6	3.727	0	23.5583	23.0937	22.51	22.2585	-99.0	22.1764
W1m4p1_127879	31.08460838	-5.902045302	4.88754	0.0277537	0	0.74	0.512	0.968	2.364	0	23.2534	22.6537	21.8857	20.9911	-99.0	20.7005
W1m4p1_127896	30.29043215	-5.901804419	4.04583	0.0246004	0	0.73	0.503	0.957	3.182	0	23.6352	23.2166	22.6818	21.8515	-99.0	21.7338
W1m4p1_127914	30.58656353	-5.901204054	4.34043	0.0277283	0	0.33	0.155	0.6	3.091	0	23.0309	22.3822	21.6619	21.3363	-99.0	21.0447
W1m4p1_127916	30.55009068	-5.901888951	4.56662	0.0108742	0	0.13	0.0	0.36	3.364	0	23.6967	22.7467	22.3363	22.0976	-99.0	22.2518
W1m4p1_127922	30.91846949	-5.901089418	2.46458	0.965143	0	0.67	0.451	0.889	1.182	0	25.117	23.689	22.4273	21.1344	-99.0	20.8533
W1m4p1_127956	30.43129106	-5.901421889	4.60003	0.0235539	0	0.61	0.399	0.821	2.545	0	23.8992	23.2612	22.3645	21.7412	-99.0	21.4863
W1m4p1_127986	30.87649921	-5.90091987	3.2827	0.0299974	0	0.46	0.268	0.652	1.182	0	25.1511	23.529	22.09	21.3942	-99.0	21.0593
W1m4p1_128011	30.61283849	-5.901147982	3.48841	0.0282606	0	0.73	0.503	0.957	1.273	0	25.3936	24.1425	22.9932	21.7783	-99.0	21.2431
W1m4p1_128027	30.20503859	-5.900392602	3.70362	0.0186844	0	0.62	0.33	0.833	3.636	0	23.697	23.3715	22.7776	22.2645	-99.0	22.2414
W1m4p1_128064	30.30318537	-5.900786368	3.0674	0.049074	0	0.42	0.234	0.606	1.0	0	25.2986	23.0793	21.6201	20.8719	-99.0	20.5132
W1m4p1_128104	30.20767727	-5.900191503	3.88464	0.0249748	0	0.5	0.19	0.697	5.727	0	22.9724	22.7791	22.2458	21.99	-99.0	22.0763
W1m4p1_128113	30.21765008	-5.900031156	3.36132	0.0228352	0	0.8	0.564	1.43	3.909	0	23.3902	23.1396	22.9068	22.2611	-99.0	22.0475
W1m4p1_128118	30.46739586	-5.899995547	2.9195	0.104883	0	0.64	0.29	1.07	5.545	0	22.8035	22.6617	22.295	21.8802	-99.0	21.8472
W1m4p1_128140	30.6105082	-5.900755136	3.93292	0.0286212	0	0.19	0.01	0.346	2.545	0	22.4636	21.4687	20.9921	20.6515	-99.0	20.4314
W1m4p1_128152	31.03191784	-5.900454878	5.16467	0.00176575	0	0.65	0.37	0.867	3.818	0	23.2464	22.9598	22.4331	21.9122	-99.0	21.8181
W1m4p1_128154	30.27768097	-5.900344878	3.70337	0.028947	0	0.76	0.529	0.991	2.818	0	23.6901	23.2634	22.5556	21.7077	-99.0	21.4559
W1m4p1_128175	30.89510012	-5.900411544	3.66981	0.0282742	0	0.46	0.268	0.68	3.455	0	22.9101	22.4817	21.786	21.4117	-99.0	21.272
W1m4p1_128246	30.89389326	-5.900295651	4.05507	0.0269016	0	0.72	0.494	0.946	2.364	0	24.0327	23.2865	22.5844	21.7298	-99.0	21.4288
W1m4p1_128263	30.22936738	-5.899966543	3.99948	0.0136973	0	0.87	0.624	1.26	3.091	0	24.0685	23.7387	23.261	22.4042	-99.0	22.0701
