id	ALPHA_J2000	DELTA_J2000	FLUX_RADIUS	CLASS_STAR	fitclass	Z_B	Z_B_MIN	Z_B_MAX	T_B	star_flag	MAG_u	MAG_g	MAG_r	MAG_i	MAG_y	MAG_z
W1m0p3_163495	34.49772838	-3.829346742	3.91377	0.0267547	0	0.89	0.642	1.138	1.0	0	99.0	25.6197	23.5293	22.2763	-99.0	21.1874
W1m0p3_163938	34.19064689	-3.826758267	3.03519	0.0832023	0	0.55	0.346	0.754	1.0	0	99.0	24.7124	23.1272	22.0772	-99.0	21.7885
W1m0p3_163989	34.26664891	-3.827276105	3.23099	0.0801515	0	0.75	0.52	0.98	1.182	0	24.6148	23.477	22.0212	20.7793	-99.0	20.3088
W1m0p3_164142	34.85523777	-3.825475875	2.5949	0.952649	0	0.6	0.39	0.81	1.0	0	27.9029	24.8893	23.3501	22.1868	-99.0	21.76
W1m0p3_164199	34.54393024	-3.826193645	3.82962	0.0381743	0	0.69	0.468	0.912	1.091	0	25.3295	23.7926	22.3375	21.0225	-99.0	20.6473
W1m0p3_164292	34.49516132	-3.825060447	3.07995	0.139177	0	0.74	0.512	0.968	1.364	0	25.9056	24.9491	23.7342	22.4359	-99.0	22.1189
W1m0p3_164356	34.55140858	-3.824823029	3.49426	0.0348755	0	0.92	0.668	1.33	1.455	0	24.4508	23.7643	22.7557	21.5545	-99.0	20.7822
W1m0p3_164514	34.3349228	-3.825152239	3.76174	0.0316636	0	0.77	0.538	1.002	1.364	0	24.602	23.6352	22.3533	21.1675	-99.0	20.6559
W1m0p3_164678	34.54815914	-3.822483121	3.27947	0.0341988	0	0.86	0.616	1.104	1.0	0	99.0	25.7995	23.782	22.2434	-99.0	21.482
W1m0p3_164697	34.48971167	-3.82258979	2.68246	0.933516	0	0.77	0.538	1.002	1.182	0	26.0571	24.8301	23.3635	22.0558	-99.0	21.493
W1m0p3_164711	34.55339135	-3.823144509	3.89452	0.0298667	0	0.55	0.346	0.754	1.273	0	24.7187	23.4694	21.9821	21.1883	-99.0	20.8076
W1m0p3_164735	34.35923582	-3.822669619	3.89246	0.0236949	0	0.18	0.025	0.335	1.273	0	24.8973	23.4151	22.5112	22.0706	-99.0	22.0051
W1m0p3_164800	34.77766402	-3.82264213	3.06611	0.413271	0	0.73	0.503	0.957	1.182	0	26.3527	25.056	23.5789	22.3359	-99.0	21.891
W1m0p3_165219	34.24773895	-3.820070292	3.31489	0.135734	0	0.74	0.512	0.968	1.0	0	99.0	25.3788	23.7875	22.4725	-99.0	21.63
W1m0p3_165675	34.35789381	-3.817423548	3.12811	0.0369279	0	0.27	0.103	0.46	1.455	0	24.8853	23.5506	22.5705	22.1132	-99.0	21.8415
W1m0p3_165958	34.48569377	-3.816157606	2.86275	0.330529	0	0.87	0.624	1.21	1.182	0	25.8964	24.9317	23.386	22.1323	-99.0	21.3182
W1m0p3_166194	34.7092028	-3.8144756	2.84793	0.259777	0	0.72	0.494	0.946	1.0	0	99.0	25.162	23.5367	22.1975	-99.0	21.5691
W1m0p3_166275	34.84164101	-3.814902923	3.98397	0.0290383	0	0.81	0.572	1.048	1.455	0	24.1235	23.3119	22.2145	21.0001	-99.0	20.4852
W1m0p3_166323	34.52733601	-3.814331414	3.80954	0.0548788	0	0.86	0.616	1.104	1.091	0	26.2539	25.0142	23.1916	21.8795	-99.0	21.1127
W1m0p3_166358	34.17920402	-3.813721883	3.45816	0.0555582	0	0.56	0.355	0.765	1.364	0	25.7893	24.4743	23.1558	22.2618	-99.0	21.9581
W1m0p3_167123	34.66269282	-3.809299985	3.0107	0.0842064	0	0.9	0.651	1.149	1.091	0	26.429	25.5846	23.7013	22.3093	-99.0	21.7655
W1m0p3_167166	34.59173542	-3.809031849	2.7806	0.263442	0	0.53	0.329	0.731	1.455	0	25.5332	24.4542	23.0217	22.3788	-99.0	22.0259
