id	ALPHA_J2000	DELTA_J2000	FLUX_RADIUS	CLASS_STAR	fitclass	Z_B	Z_B_MIN	Z_B_MAX	T_B	star_flag	MAG_u	MAG_g	MAG_r	MAG_i	MAG_y	MAG_z
W1m0m0_5249	34.26113495	-7.474348277	3.68689	0.0376347	0	0.79	0.555	1.025	1.273	0	25.5196	24.4432	23.1833	21.9898	-99.0	21.3383
W1m0m0_5316	34.19703532	-7.473616636	2.57226	0.318394	0	0.5	0.303	0.697	1.091	0	26.1498	24.1805	22.6328	21.8292	-99.0	21.4722
W1m0m0_5395	34.31424238	-7.474376685	3.8064	0.0299113	0	0.78	0.546	1.014	1.091	0	24.9357	23.6107	21.94	20.6352	-99.0	20.0938
W1m0m0_5396	34.9209365	-7.473540859	3.88	0.0270247	0	0.77	0.538	1.002	1.091	0	26.2659	24.6022	23.0879	21.7543	-99.0	20.9869
W1m0m0_5552	34.51344765	-7.472431507	3.68967	0.0893244	0	0.91	0.659	1.161	1.091	0	26.5402	25.4315	23.3873	22.131	-99.0	21.1926
W1m0m0_5652	34.29414089	-7.471203252	2.92219	0.194246	0	0.66	0.442	0.878	1.455	0	25.6895	24.6258	23.3431	22.3629	-99.0	21.9713
W1m0m0_5753	34.38399737	-7.471212562	5.0658	0.0274946	0	0.56	0.355	0.765	1.091	0	25.293	23.5344	22.0487	21.0945	-99.0	20.6081
W1m0m0_5850	34.359154	-7.470627916	2.68227	0.119127	0	0.46	0.268	0.652	1.091	0	25.2681	23.3094	21.8861	21.166	-99.0	20.7649
W1m0m0_5916	34.06828513	-7.469750714	3.51905	0.0237204	0	0.67	0.451	0.889	1.455	0	25.3538	24.401	23.0044	22.1775	-99.0	21.6354
W1m0m0_6007	34.16181198	-7.468941668	2.59311	0.196031	0	0.62	0.407	0.833	1.091	0	26.1851	24.5095	22.9834	21.9096	-99.0	21.527
W1m0m0_6711	34.41547851	-7.465147148	2.53874	0.383016	0	0.44	0.25	0.629	1.455	0	25.3343	23.9864	22.7565	22.1851	-99.0	21.8235
W1m0m0_6728	34.05850441	-7.465268272	2.84301	0.0387305	0	0.62	0.407	0.833	1.0	0	26.8544	24.5086	23.0214	21.845	-99.0	21.2845
W1m0m0_6896	34.90291371	-7.464500662	3.71928	0.028564	0	0.7	0.477	0.923	1.091	0	26.2301	24.2807	22.697	21.4536	-99.0	20.9025
W1m0m0_6898	34.44316958	-7.46430996	3.61834	0.0212535	0	0.86	0.616	1.104	1.182	0	25.9185	25.0588	23.562	22.3347	-99.0	21.6684
W1m0m0_7075	34.84775004	-7.464109657	3.35259	0.0294449	0	0.39	0.207	0.573	1.455	0	23.1762	21.9786	20.7759	20.2636	-99.0	19.9041
W1m0m0_7124	34.61527404	-7.463351862	2.63666	0.147318	0	0.55	0.346	0.754	1.091	0	26.4546	24.2366	22.7605	21.8571	-99.0	21.3872
W1m0m0_7286	34.89562915	-7.462362029	3.56291	0.0286712	0	0.49	0.294	0.686	1.273	0	25.3375	23.8597	22.5033	21.8103	-99.0	21.4021
W1m0m0_7418	34.061614	-7.461742204	3.33813	0.0289948	0	0.36	0.181	0.539	1.455	0	23.2885	22.0093	20.8857	20.4116	-99.0	19.9863
W1m0m0_7566	34.06900152	-7.460123625	2.67693	0.0690261	0	0.63	0.416	0.844	1.0	0	27.337	24.4014	22.8808	21.6252	-99.0	21.2034
W1m0m0_7722	34.94489742	-7.459268967	3.06044	0.0348316	0	0.72	0.494	0.946	1.364	0	24.7493	23.5821	22.5289	21.4137	-99.0	20.9029
W1m0m0_7957	34.50857825	-7.458889359	3.36537	0.0302738	0	0.66	0.442	0.878	1.455	0	24.0101	23.0065	21.7001	20.7484	-99.0	20.357
W1m0m0_8078	34.23795475	-7.456968366	2.63759	0.0751767	0	0.75	0.52	0.98	1.273	0	25.5649	24.4837	22.9891	21.8046	-99.0	21.3693
W1m0m0_8089	34.11580259	-7.457051658	3.21094	0.0482345	0	0.79	0.555	1.025	1.0	0	99.0	25.2909	23.4835	22.092	-99.0	21.2567
W1m0m0_8424	34.94585222	-7.455279741	3.66139	0.0280587	0	0.71	0.485	0.935	1.364	0	24.9179	23.7285	22.6244	21.5087	-99.0	21.0153
W1m0m0_8538	34.35205858	-7.455618149	3.37191	0.0337965	0	0.41	0.225	0.595	1.091	0	24.6817	22.8953	21.3736	20.7696	-99.0	20.4069
W1m0m0_9128	34.23205828	-7.452072393	3.67228	0.0288091	0	0.55	0.346	0.754	1.182	0	25.5618	23.8661	22.3951	21.5207	-99.0	21.0539
W1m0m0_9136	34.14385052	-7.451664588	3.83045	0.0250939	0	0.65	0.433	0.867	1.273	0	25.5346	24.1129	22.9636	21.869	-99.0	21.4382
W1m0m0_9366	34.91685681	-7.44938563	2.4521	0.486481	0	0.32	0.147	0.493	1.091	0	25.1173	23.4699	22.2025	21.6707	-99.0	21.3294
W1m0m0_9421	34.20841615	-7.449218801	3.32881	0.0344553	0	0.17	0.016	0.324	1.273	0	24.263	22.8066	21.9189	21.5624	-99.0	21.4569
W1m0m0_9454	34.28545249	-7.449189949	2.64747	0.0918207	0	0.54	0.338	0.742	1.091	0	25.9986	24.1309	22.5927	21.6652	-99.0	21.2443
W1m0m0_9597	34.11193906	-7.449485821	4.03937	0.0288328	0	0.63	0.416	0.844	1.091	0	24.8383	23.0419	21.5243	20.417	-99.0	19.9742
W1m0m0_9708	34.22475263	-7.447903406	3.80086	0.0286507	0	0.62	0.407	0.833	1.182	0	25.3119	23.7331	22.2116	21.2264	-99.0	20.7344
W1m0m0_9745	34.5433212	-7.446767287	2.79686	0.0545034	0	0.47	0.277	0.663	1.364	0	24.6154	23.3442	21.9294	21.2918	-99.0	20.976
W1m0m0_9808	34.1126751	-7.446648485	4.49707	0.02808	0	0.53	0.329	0.731	1.273	0	24.7636	23.3985	22.0474	21.1962	-99.0	20.8939
W1m0m0_10240	34.04431585	-7.443941807	4.87254	0.0247198	0	0.64	0.425	0.855	1.0	0	99.0	24.3617	22.756	21.5499	-99.0	21.0623
W1m0m0_10280	34.27706608	-7.44361625	2.54021	0.220195	0	0.7	0.477	0.923	1.0	0	27.6982	24.9898	23.2391	21.9911	-99.0	21.4701
W1m0m0_10441	34.93540019	-7.442514977	3.30558	0.0271358	0	0.61	0.399	0.821	1.364	0	25.4231	24.2005	22.9096	22.0159	-99.0	21.5907
W1m0m0_10628	34.25119578	-7.441644556	2.54976	0.12242	0	0.63	0.416	0.844	1.182	0	25.8601	24.2163	22.7553	21.7056	-99.0	21.1982
W1m0m0_10677	34.85986273	-7.441268017	2.79562	0.0507794	0	0.55	0.346	0.754	1.091	0	26.7105	24.5603	22.9979	22.136	-99.0	21.6676
W1m0m0_11067	34.43656879	-7.44081203	4.2899	0.0298377	0	0.56	0.355	0.765	1.091	0	25.058	22.9327	21.5176	20.5148	-99.0	20.0582
W1m0m0_11366	34.89100838	-7.437191056	2.72153	0.366382	0	0.51	0.312	0.708	1.273	0	25.2782	23.8111	22.5003	21.7033	-99.0	21.3512
W1m0m0_11501	34.41574329	-7.43805536	3.82331	0.0310243	0	0.66	0.442	0.878	1.0	0	26.6361	24.4557	22.8435	21.5953	-99.0	21.14
W1m0m0_11864	34.55116942	-7.434580208	3.67227	0.031176	0	0.85	0.607	1.093	1.0	0	99.0	25.8155	23.8816	22.4987	-99.0	21.5587
W1m0m0_12116	34.41499421	-7.433504849	3.05718	0.0809688	0	1.05	0.781	1.319	1.182	0	25.5946	24.958	23.4725	22.3366	-99.0	21.3481
W1m0m0_12130	34.26355943	-7.433493613	3.02672	0.0607351	0	0.63	0.416	0.844	1.364	0	24.6825	23.5604	22.2125	21.3618	-99.0	20.8559
W1m0m0_12205	34.42091796	-7.434696611	4.71425	0.0286357	0	0.42	0.234	0.606	1.182	0	23.4386	21.8914	20.4091	19.795	-99.0	19.4627
W1m0m0_12515	34.9465271	-7.43123646	2.93538	0.0419577	0	0.52	0.32	0.72	1.0	0	26.231	23.6453	22.1297	21.1204	-99.0	20.6681
W1m0m0_12773	34.10877623	-7.430720659	3.26785	0.0449531	0	0.59	0.381	0.799	1.0	0	26.1023	23.6264	21.9089	20.8039	-99.0	20.4044
W1m0m0_12786	34.56473084	-7.429693265	2.76887	0.0734855	0	0.7	0.477	0.923	1.0	0	99.0	25.1314	-99.0	22.1628	-99.0	21.6409
W1m0m0_13280	34.47048786	-7.426548738	3.29493	0.156085	0	0.56	0.355	0.765	1.0	0	99.0	24.9277	23.3918	22.4039	-99.0	21.8708
W1m0m0_13422	34.3129577	-7.426019788	4.41559	0.0160178	0	0.84	0.598	1.082	1.182	0	26.2272	24.943	23.4189	22.2983	-99.0	21.4094
W1m0m0_13657	34.82405989	-7.424292889	2.53256	0.231034	0	0.76	0.529	0.991	1.0	0	27.4697	25.5659	23.8387	22.3605	-99.0	21.7555
W1m0m0_13766	34.28246326	-7.424333071	4.09211	0.027915	0	0.81	0.572	1.048	1.364	0	24.6791	23.9944	22.4792	21.4412	-99.0	20.9732
W1m0m0_13825	34.48111975	-7.424583142	3.45497	0.0372862	0	0.57	0.364	0.776	1.091	0	25.6502	23.4112	21.9111	20.9152	-99.0	20.5055
W1m0m0_13972	34.26880276	-7.423133083	3.36188	0.0331541	0	1.14	0.84	1.421	1.182	0	25.2883	24.467	23.2823	22.1415	-99.0	21.0957
W1m0m0_14035	34.07230859	-7.422549056	4.33559	0.0158956	0	0.57	0.364	0.776	1.0	0	99.0	24.5712	23.2574	22.1348	-99.0	21.6306
W1m0m0_14126	34.4578435	-7.422296447	4.67738	0.0159314	0	0.9	0.651	1.2	1.091	0	26.0567	25.0171	23.4489	22.1973	-99.0	21.2348
W1m0m0_14715	34.43767855	-7.418853517	2.84009	0.172268	0	0.63	0.416	0.844	1.091	0	25.9028	23.7997	22.3747	21.1731	-99.0	20.6853
W1m0m0_14895	34.91665362	-7.417574091	3.28613	0.032847	0	0.62	0.407	0.833	1.364	0	24.4243	23.21	21.9202	20.9681	-99.0	20.5495
W1m0m0_15602	34.94128058	-7.412800383	3.29953	0.0282873	0	0.52	0.32	0.72	1.364	0	25.0383	23.6515	22.4525	21.6615	-99.0	21.2757
W1m0m0_15622	34.02988689	-7.412215691	2.64883	0.0994846	0	0.77	0.538	1.002	1.0	0	99.0	25.569	23.6577	22.4948	-99.0	21.8038
W1m0m0_15897	34.82637126	-7.411031131	3.00516	0.0301796	0	0.34	0.164	0.516	1.0	0	26.0734	24.1226	22.8013	22.2137	-99.0	21.8573
W1m0m0_16000	34.77360989	-7.410694586	2.69398	0.137828	0	0.59	0.381	0.799	1.0	0	26.4598	23.8303	22.4144	21.19	-99.0	20.7377
W1m0m0_16004	34.52783441	-7.41053736	2.86007	0.0428166	0	0.49	0.294	0.686	1.0	0	27.0243	24.4693	23.2219	22.2455	-99.0	21.8613
W1m0m0_16397	34.93852173	-7.408228815	3.46257	0.0288479	0	0.52	0.32	0.72	1.0	0	26.531	23.7966	22.4102	21.3937	-99.0	20.9462
W1m0m0_16730	34.26970121	-7.405990787	3.11506	0.028041	0	0.71	0.485	0.935	1.364	0	25.7676	24.7972	23.3418	22.3447	-99.0	21.8316
W1m0m0_16745	34.95068006	-7.406465866	3.24611	0.0305839	0	0.62	0.407	0.833	1.182	0	25.0378	23.3852	21.8664	20.8425	-99.0	20.3342
W1m0m0_16893	34.12126594	-7.405065021	2.78583	0.0995395	0	0.57	0.364	0.776	1.091	0	26.1311	24.1326	22.775	21.7341	-99.0	21.2468
W1m0m0_16930	34.49116771	-7.405814111	2.95942	0.10342	0	0.47	0.277	0.663	1.091	0	25.0706	23.0517	21.6162	20.8484	-99.0	20.4851
W1m0m0_17035	34.29387247	-7.403877422	2.68717	0.0723004	0	0.54	0.338	0.742	1.273	0	25.5914	24.1402	22.7574	21.8899	-99.0	21.5784
W1m0m0_17150	34.95587323	-7.402974313	3.09897	0.0318098	0	0.5	0.303	0.697	1.273	0	25.6279	24.197	22.8577	22.0461	-99.0	21.7792
W1m0m0_17159	34.96656197	-7.403225246	2.80633	0.0385052	0	0.62	0.407	0.833	1.455	0	25.1207	24.0197	22.7718	21.9474	-99.0	21.4652
W1m0m0_17195	34.47201261	-7.402774902	3.20096	0.0249036	0	0.66	0.442	0.878	1.0	0	99.0	25.261	23.4744	22.4165	-99.0	21.8385
W1m0m0_17198	34.30374008	-7.403412103	3.16008	0.0347957	0	0.57	0.364	0.776	1.182	0	25.0594	23.4428	21.9493	21.0521	-99.0	20.5882
W1m0m0_17273	34.40759814	-7.402888773	3.61574	0.0342938	0	1.14	0.859	1.421	1.091	0	25.2111	24.7828	22.8327	21.5621	-99.0	20.8767
W1m0m0_17731	34.33195908	-7.399587135	4.37891	0.0142797	0	0.74	0.512	0.968	1.0	0	99.0	25.1848	23.5341	22.3443	-99.0	21.5152
W1m0m0_18021	34.37675139	-7.397867828	3.16707	0.047414	0	0.62	0.407	0.833	1.0	0	99.0	24.5404	22.8853	21.7813	-99.0	21.2985
W1m0m0_18207	34.59869871	-7.396792449	3.90496	0.0248087	0	0.54	0.338	0.742	1.0	0	27.3552	24.2692	22.9849	21.9322	-99.0	21.4689
W1m0m0_18256	34.23618913	-7.396629151	2.66249	0.161329	0	0.57	0.364	0.776	1.091	0	25.7383	23.5686	22.0	21.0618	-99.0	20.6482
W1m0m0_18297	34.54688852	-7.397372394	4.75602	0.0336975	0	0.9	0.651	1.149	1.182	0	25.1163	24.1224	22.6582	21.6329	-99.0	20.6301
W1m0m0_18351	34.17075423	-7.395695891	3.13358	0.0671358	0	0.36	0.181	0.539	1.182	0	24.7223	23.2071	21.9235	21.3761	-99.0	21.0189
W1m0m0_18405	34.58310807	-7.395400215	3.00136	0.029613	0	0.81	0.572	1.048	1.091	0	26.8911	25.3275	23.5772	22.2787	-99.0	21.5316
W1m0m0_18417	34.08309516	-7.394975573	2.68164	0.0813531	0	0.26	0.095	0.425	1.0	0	25.4505	23.73	22.5805	22.112	-99.0	21.8554
W1m0m0_18846	34.96285022	-7.392411432	3.25634	0.0226565	0	0.58	0.373	0.787	1.091	0	27.2046	24.5938	23.4787	22.313	-99.0	21.8457
W1m0m0_18872	34.2783215	-7.392316863	2.51733	0.455329	0	0.7	0.477	0.923	1.273	0	25.6763	24.4799	23.0735	21.9139	-99.0	21.5003
W1m0m0_18972	34.33362672	-7.391823797	4.76507	0.013272	0	1.06	0.789	1.331	1.364	0	24.5817	24.6846	23.339	22.262	-99.0	21.3465
W1m0m0_19055	34.04181878	-7.391857544	3.31241	0.0313224	0	0.51	0.312	0.708	1.0	0	25.6945	23.2158	21.6687	20.644	-99.0	20.2417
W1m0m0_19062	34.18759442	-7.391246115	3.74179	0.0283933	0	0.46	0.268	0.652	1.273	0	24.689	23.317	21.9187	21.2957	-99.0	20.9026
W1m0m0_19112	34.88206233	-7.390611179	2.79417	0.0389482	0	0.61	0.399	0.821	1.182	0	25.7379	24.3878	22.8005	21.9063	-99.0	21.495
W1m0m0_19669	34.49314798	-7.387676179	2.6021	0.141789	0	0.61	0.399	0.821	1.091	0	26.4121	24.2769	22.7424	21.6491	-99.0	21.2282
W1m0m0_19707	34.62194092	-7.387534352	2.67495	0.169523	0	0.21	0.051	0.37	1.182	0	25.3474	23.8479	22.8892	22.3828	-99.0	22.2523
W1m0m0_19763	34.97010225	-7.387128497	2.99657	0.0296729	0	0.58	0.373	0.787	1.182	0	25.7747	24.1383	22.7995	21.8007	-99.0	21.401
W1m0m0_19888	34.64512042	-7.387093509	3.22525	0.0332395	0	0.59	0.381	0.799	1.0	0	26.2852	24.0938	22.4569	21.3713	-99.0	20.8944
W1m0m0_20216	34.40145006	-7.384501828	2.70082	0.0756227	0	0.52	0.32	0.72	1.0	0	99.0	25.0026	23.3453	22.4433	-99.0	22.1256
W1m0m0_20448	34.4530086	-7.384153731	3.07381	0.0367812	0	0.25	0.086	0.43	1.364	0	23.9681	22.6109	21.5853	21.1585	-99.0	20.896
W1m0m0_20451	34.37813067	-7.383946592	6.36695	0.00195905	0	0.56	0.355	0.765	1.091	0	26.169	24.0007	22.4814	21.5021	-99.0	21.1018
W1m0m0_20529	34.2832441	-7.383392323	3.64271	0.027796	0	0.7	0.477	0.923	1.364	0	25.0351	24.0022	22.7256	21.7421	-99.0	21.2108
W1m0m0_20845	34.11256188	-7.38086744	2.6894	0.133554	0	0.52	0.32	0.72	1.364	0	25.4352	24.0612	22.7099	21.9546	-99.0	21.5534
W1m0m0_20903	34.28984663	-7.380953245	4.78424	0.016352	0	0.66	0.442	0.878	1.273	0	25.6237	24.2939	22.8731	21.9023	-99.0	21.3349
W1m0m0_21210	34.57131529	-7.379100725	2.53062	0.265215	0	0.51	0.312	0.708	1.091	0	26.2165	24.0682	22.6109	21.7972	-99.0	21.4035
W1m0m0_21281	34.69803687	-7.378494911	2.66022	0.232847	0	0.76	0.529	0.991	1.182	0	26.2711	25.0518	23.6048	22.2488	-99.0	21.7759
W1m0m0_21759	34.72094375	-7.376104093	3.05595	0.0565175	0	0.72	0.494	0.946	1.182	0	26.1842	24.6333	23.308	22.0902	-99.0	21.435
W1m0m0_21823	34.89251787	-7.375769878	3.21966	0.036617	0	0.54	0.338	0.742	1.0	0	27.3221	23.9187	22.5245	21.5738	-99.0	21.0979
W1m0m0_21827	34.36670829	-7.376111938	3.49342	0.0296776	0	0.78	0.546	1.014	1.182	0	24.8987	23.8861	22.3283	21.0892	-99.0	20.643
W1m0m0_21858	34.06628967	-7.375208069	3.03143	0.0379358	0	0.8	0.564	1.036	1.273	0	25.2294	24.0561	22.9957	21.8045	-99.0	21.0686
W1m0m0_23172	34.16106006	-7.366327214	2.87219	0.0393086	0	0.74	0.512	0.968	1.273	0	25.9015	24.9204	23.4232	22.3482	-99.0	21.9053
W1m0m0_23253	34.15971584	-7.366712312	3.83932	0.0371605	0	0.59	0.381	0.799	1.0	0	27.2078	24.3476	22.8086	21.6011	-99.0	21.3019
W1m0m0_23382	34.02289481	-7.365227317	2.65121	0.112031	0	0.2	0.042	0.358	1.364	0	24.8759	23.4318	22.5413	22.1778	-99.0	21.93
W1m0m0_23392	34.5995342	-7.365944395	2.86897	0.132039	0	0.64	0.425	0.855	1.0	0	99.0	23.9408	22.3667	21.1165	-99.0	20.6426
W1m0m0_23449	34.62573846	-7.365469929	3.85871	0.0193676	0	0.67	0.451	0.889	1.182	0	26.1921	24.8672	23.2585	22.1909	-99.0	21.8163
W1m0m0_23469	34.2794349	-7.364860259	2.51908	0.542352	0	0.62	0.407	0.833	1.091	0	26.8756	24.7401	23.2297	22.1361	-99.0	21.6235
W1m0m0_23495	34.8655525	-7.365192312	3.27124	0.0454833	0	0.88	0.633	1.127	1.0	0	26.9789	25.5372	23.3442	22.0372	-99.0	21.223
W1m0m0_23560	34.51751964	-7.364522509	2.765	0.0835428	0	0.73	0.503	0.957	1.364	0	25.1712	24.1194	22.857	21.7553	-99.0	21.2292
W1m0m0_23648	34.30418073	-7.364573721	4.09964	0.0290192	0	0.48	0.286	0.674	1.273	0	24.698	23.1459	21.8562	21.1153	-99.0	20.7984
W1m0m0_23694	34.71989166	-7.364124748	4.05964	0.0278631	0	0.78	0.546	1.014	1.182	0	25.2336	24.1211	22.7113	21.3712	-99.0	20.8542
W1m0m0_23750	34.40596194	-7.363650227	3.16038	0.0330977	0	0.57	0.364	0.776	1.091	0	25.6019	23.5026	21.9004	20.9432	-99.0	20.5498
W1m0m0_23752	34.20807959	-7.364064939	4.01152	0.0288269	0	0.65	0.433	0.867	1.273	0	24.4148	23.0072	21.6862	20.6218	-99.0	20.1327
W1m0m0_23811	34.65292605	-7.364704745	3.99936	0.029005	0	0.6	0.39	0.81	1.091	0	25.4174	23.314	21.795	20.6876	-99.0	20.2696
W1m0m0_23828	34.06939567	-7.362870538	2.87443	0.0494229	0	0.46	0.268	0.652	1.182	0	25.4288	23.7519	22.3551	21.664	-99.0	21.3011
W1m0m0_23831	34.79754067	-7.362638585	2.63322	0.0815382	0	0.79	0.555	1.025	1.091	0	26.7362	25.3589	23.6114	22.3698	-99.0	21.8172
W1m0m0_23851	34.81457445	-7.363458778	3.85784	0.0306808	0	0.74	0.512	0.968	1.182	0	25.3696	24.0353	22.5147	21.2376	-99.0	20.7625
W1m0m0_23876	34.66365279	-7.36225485	2.55223	0.339134	0	0.79	0.555	1.025	1.182	0	25.4647	24.4764	22.9836	21.6916	-99.0	21.2055
W1m0m0_23969	34.12096115	-7.362615513	3.87154	0.0281828	0	0.31	0.138	0.482	1.0	0	25.0543	23.1136	21.9058	21.3557	-99.0	21.0012
W1m0m0_23986	34.13616003	-7.361620592	3.02412	0.0414766	0	0.3	0.129	0.471	1.091	0	25.7158	23.8211	22.6974	22.1236	-99.0	21.8946
W1m0m0_24038	34.66951576	-7.362141328	3.92663	0.0313744	0	0.45	0.24	0.64	1.364	0	24.1727	22.7277	21.5272	20.8271	-99.0	20.5798
W1m0m0_24203	34.34898251	-7.360172666	2.58291	0.416035	0	0.72	0.494	0.946	1.091	0	26.2323	24.7295	23.3024	21.9587	-99.0	21.5005
W1m0m0_24432	34.82068557	-7.35962201	3.73875	0.02847	0	0.33	0.155	0.52	1.364	0	24.0083	22.6655	21.6036	21.0831	-99.0	20.6997
W1m0m0_24777	34.90890636	-7.356375349	3.44165	0.197267	0	0.75	0.52	0.98	1.182	0	26.4154	24.961	23.6524	22.3352	-99.0	21.67
W1m0m0_24804	34.16058784	-7.356600396	3.14582	0.075338	0	0.63	0.416	0.844	1.091	0	26.722	24.8783	23.5001	22.2202	-99.0	21.9529
W1m0m0_24840	34.17585905	-7.357672839	4.65676	0.0281977	0	0.54	0.338	0.742	1.455	0	24.3094	23.1792	21.7626	21.0858	-99.0	20.6574
W1m0m0_24946	34.16055614	-7.355377764	4.1131	0.0141891	0	0.48	0.286	0.674	1.0	0	99.0	24.4777	23.1712	22.3374	-99.0	21.9718
W1m0m0_25087	34.44115885	-7.35473966	2.76957	0.0649605	0	0.95	0.694	1.206	1.273	0	25.2797	24.789	23.2411	22.0353	-99.0	21.3997
W1m0m0_25347	34.47981139	-7.354094528	3.48244	0.0287798	0	0.21	0.051	0.38	1.182	0	23.6852	22.2236	21.2461	20.8141	-99.0	20.5533
W1m0m0_25371	34.44054483	-7.353158344	3.06359	0.0318326	0	0.53	0.329	0.731	1.0	0	26.5929	24.0768	22.6232	21.5511	-99.0	21.1218
W1m0m0_25572	34.54770044	-7.351762532	3.42674	0.0530163	0	0.66	0.442	0.878	1.0	0	99.0	24.7457	23.3345	22.1183	-99.0	21.3857
W1m0m0_26147	34.50643275	-7.349442173	3.03507	0.0730063	0	0.57	0.364	0.776	1.182	0	24.9965	23.4428	21.9447	21.0222	-99.0	20.6294
W1m0m0_26297	34.67692736	-7.347196681	2.43132	0.175893	0	0.87	0.624	1.15	1.273	0	25.6746	24.9103	23.5552	22.4267	-99.0	21.7605
W1m0m0_26415	34.61383736	-7.347152324	3.49083	0.0303341	0	0.22	0.06	0.41	1.182	0	23.3958	21.9168	20.9236	20.4123	-99.0	20.1517
W1m0m0_26442	34.85822031	-7.346558086	3.15014	0.1277	0	0.86	0.616	1.23	1.273	0	25.8523	24.8915	23.7637	22.4718	-99.0	21.7443
W1m0m0_26444	34.48203557	-7.347674348	4.39325	0.0282876	0	0.64	0.425	0.855	1.455	0	24.1875	23.2485	21.9021	21.0027	-99.0	20.6417
W1m0m0_26488	34.0812747	-7.346032326	2.62093	0.0953732	0	0.77	0.538	1.002	1.091	0	26.311	24.8104	23.1896	21.7779	-99.0	21.2434
W1m0m0_26579	34.8261506	-7.346787395	3.58711	0.0288244	0	0.17	0.016	0.33	1.091	0	22.8017	21.2597	20.361	19.9241	-99.0	19.6662
W1m0m0_26601	34.30865276	-7.34622326	2.96656	0.198708	0	0.76	0.529	0.991	1.455	0	24.6788	23.6713	22.6057	21.4913	-99.0	20.944
W1m0m0_26694	34.45733938	-7.34538177	2.48767	0.762016	0	0.59	0.381	0.799	1.091	0	26.3039	24.0928	22.5741	21.492	-99.0	21.1035
W1m0m0_26729	34.64699483	-7.345112159	2.58051	0.241573	0	0.59	0.381	0.799	1.091	0	26.4483	24.218	22.6833	21.6747	-99.0	21.1646
W1m0m0_26921	34.82750642	-7.343567249	2.97981	0.0350953	0	1.17	0.885	1.455	1.182	0	25.4869	25.0332	23.7418	22.4929	-99.0	21.5668
W1m0m0_26939	34.42508594	-7.344653053	2.70834	0.752966	0	0.7	0.477	0.923	1.273	0	24.3424	23.1783	21.8943	20.6771	-99.0	20.3085
W1m0m0_26947	34.91303484	-7.344088168	3.24436	0.0303119	0	0.8	0.564	1.036	1.273	0	25.323	24.3149	23.0241	21.8092	-99.0	21.1739
W1m0m0_27050	34.42880889	-7.343436155	3.34335	0.0357341	0	0.59	0.381	0.799	1.091	0	25.6461	23.5217	22.0586	20.994	-99.0	20.5235
W1m0m0_27129	34.1423947	-7.342467698	3.32059	0.0303159	0	0.69	0.468	0.912	1.364	0	25.6047	24.5575	23.2272	22.16	-99.0	21.7653
W1m0m0_27275	34.76921243	-7.34351005	4.29159	0.0286808	0	0.5	0.303	0.697	1.182	0	23.9431	22.3209	20.8779	20.113	-99.0	19.6629
W1m0m0_27293	34.27251399	-7.34144219	2.89358	0.0425759	0	0.89	0.642	1.138	1.091	0	26.5555	25.3409	23.466	22.2014	-99.0	21.2686
W1m0m0_27300	34.11414695	-7.34284993	3.86233	0.0288258	0	0.42	0.18	0.606	1.364	0	23.174	-99.0	20.5937	20.0112	-99.0	19.7472
W1m0m0_27349	34.94505603	-7.341571009	3.9246	0.0270845	0	0.79	0.555	1.025	1.0	0	99.0	24.79	23.0638	21.7935	-99.0	20.7584
W1m0m0_27363	34.61263924	-7.341924306	3.26198	0.0346551	0	0.68	0.459	0.901	1.0	0	99.0	24.2131	22.5511	21.2548	-99.0	20.7394
W1m0m0_27412	34.87828838	-7.341069342	2.86295	0.141225	0	0.83	0.59	1.07	1.182	0	26.2511	25.062	23.4603	22.348	-99.0	21.5498
W1m0m0_27591	34.40265806	-7.339618416	2.43127	0.34624	0	0.7	0.477	0.923	1.0	0	99.0	24.87	23.2521	21.954	-99.0	21.345
W1m0m0_27686	34.72295396	-7.339770353	2.84733	0.0942106	0	0.26	0.095	0.44	1.091	0	23.643	22.0897	20.9331	20.43	-99.0	20.1221
W1m0m0_27764	34.57476876	-7.338328085	2.59048	0.188552	0	0.56	0.355	0.765	1.0	0	99.0	24.9071	23.4301	22.3803	-99.0	21.9463
W1m0m0_27864	34.35665009	-7.338112564	3.17168	0.0292878	0	0.67	0.451	0.889	1.0	0	27.0892	24.8177	23.2105	21.9825	-99.0	21.4284
W1m0m0_28900	34.02448924	-7.331490923	3.01806	0.0367568	0	0.54	0.338	0.742	1.0	0	27.2975	24.6511	23.1206	22.122	-99.0	21.641
W1m0m0_29497	34.62541508	-7.328774228	3.06494	0.0327542	0	0.52	0.32	0.72	1.091	0	25.9079	24.0721	22.5587	21.6139	-99.0	21.2769
W1m0m0_29564	34.10708119	-7.328152003	2.95888	0.0610759	0	0.47	0.277	0.663	1.0	0	25.7445	23.4693	21.8399	20.9504	-99.0	20.5601
W1m0m0_29631	34.11191105	-7.328311351	3.25754	0.0321975	0	0.48	0.286	0.674	1.273	0	24.2761	22.8059	21.3423	20.5647	-99.0	20.291
W1m0m0_29852	34.72588428	-7.325932912	3.83597	0.0277297	0	0.7	0.477	0.923	1.273	0	25.2247	23.9036	22.7782	21.5657	-99.0	21.1382
W1m0m0_29965	34.62465786	-7.327047539	3.37415	0.0300606	0	0.48	0.286	0.674	1.091	0	24.0169	22.0405	20.6353	19.7419	-99.0	19.459
W1m0m0_30041	34.37949038	-7.325111687	2.86639	0.176835	0	0.52	0.32	0.72	1.182	0	25.6023	23.861	22.4433	21.6263	-99.0	21.2255
